name,tuition,grades,address,religion,state,scraped_at
The Advent School,36050.0,NS-6,"15 Brimmer Street
Boston, MA 02108
(617) 742-0520",,Massachusetts,2025-02-13T17:26:06.956074
Charles River School,36220.0,PK-8,"6 Old Meadow Road
Dover, MA 02030
(508) 785-8213",,Massachusetts,2025-02-13T17:26:06.956074
Thayer Academy,36575.0,5-12,"745 Washington Street
Braintree, MA 02184
(781) 664-2201",,Massachusetts,2025-02-13T17:26:06.956074
Cats Academy,36590.0,8-12,"2001 Washington Street
Braintree, MA 02184
(857) 400-9700",,Massachusetts,2025-02-13T17:26:06.956074
Montrose School,36800.0,6-12,"29 North St
Medfield, MA 02052
(508) 359-2423",Catholic,Massachusetts,2025-02-13T17:26:06.956578
The Roxbury Latin School,37900.0,7-12,"101 Saint Theresa Avenue
West Roxbury, MA 02132
(617) 477-6316",,Massachusetts,2025-02-13T17:26:06.956578
Wilson-kindelan School,38000.0,K-1,"158 Blue Hills Parkway
Milton, MA 02186
(339) 237-0319",,Massachusetts,2025-02-13T17:26:06.956578
Dedham Country Day School,38975.0,NS-8,"90 Sandy Valley Road
Dedham, MA 02026
(781) 329-0850",,Massachusetts,2025-02-13T17:26:06.956578
Meridian Academy,39000.0,5-12,"54 Brookside Avenue
Jamaica Plain, MA 02130
(617) 277-1118",,Massachusetts,2025-02-13T17:26:06.957154
The Rashi School,39500.0,PK-8,"8000 Great Meadow Road
Dedham, MA 02026
(781) 355-7317",Jewish,Massachusetts,2025-02-13T17:26:06.957154
Worcester Academy,41000.0,6-12,"81 Providence Street
Worcester, MA 01604
(508) 754-5302",,Massachusetts,2025-02-13T17:26:06.957154
Tenacre Country Day School,41410.0,PK-6,"78 Benvenue Street
Wellesley, MA 02482
(781) 235-2282",,Massachusetts,2025-02-13T17:26:06.957154
Gann Academy-the New Jewish High School,41950.0,9-12,"333 Forest Street
Waltham, MA 02452
(781) 642-6800",Jewish,Massachusetts,2025-02-13T17:26:06.957154
The Academy at Penguin Hall,42800.0,9-12,"36 Essex Street
Wenham, MA 01984
(978) 468-6200",,Massachusetts,2025-02-13T17:26:06.957154
The Fenn School,45000.0,4-9,"516 Monument Street
Concord, MA 01742
(978) 318-3606",,Massachusetts,2025-02-13T17:26:06.957154
The Park School,45610.0,PK-8,"171 Goddard Avenue
Brookline, MA 02445
(617) 277-2456",,Massachusetts,2025-02-13T17:26:06.957154
International School Of Boston,46060.0,NS-12,"45 Matignon Road
Cambridge, MA 02140
(617) 499-1451",,Massachusetts,2025-02-13T17:26:06.957154
New England Innovation Academy,46856.0,7-12,"280 Locke Drive
Marlborough, MA 01752
(508) 205-4270",,Massachusetts,2025-02-13T17:26:06.957154
Granite Academy,51403.0,6-12,"6 Columbian St
Braintree, MA 02184
(781) 380-3945",,Massachusetts,2025-02-13T17:26:06.957154
Noble And Greenough School,52300.0,7-12,"10 Campus Drive
Dedham, MA 02026
(781) 320-7271",,Massachusetts,2025-02-13T17:26:06.958659
Concord Academy,53270.0,9-12,"166 Main Street
Concord, MA 01742
(978) 402-2250",,Massachusetts,2025-02-13T17:26:06.958659
Pingree School,53800.0,9-12,"537 Highland St
South Hamilton, MA 01982
(978) 468-4415",,Massachusetts,2025-02-13T17:26:06.958659
Boston University Academy,55234.0,9-12,"One University Road
Boston, MA 02215
(617) 353-9000",,Massachusetts,2025-02-13T17:26:06.958659
Winsor School,56100.0,5-12,"103 Pilgrim Road
Boston, MA 02215
(617) 735-9503",,Massachusetts,2025-02-13T17:26:06.959235
The Macduffie School,57150.0,6-12,"66 School St
Granby, MA 01033
(413) 255-0000",,Massachusetts,2025-02-13T17:26:06.959235
Commonwealth School,57625.0,9-12,"151 Commonwealth Avenue
Boston, MA 02116
(617) 266-7525",,Massachusetts,2025-02-13T17:26:06.959235
The Rivers School,57950.0,6-12,"333 Winter St
Weston, MA 02493
(781) 235-9300",,Massachusetts,2025-02-13T17:26:06.959235
Chapel Hill Chauncy Hall School,58000.0,7-12,"785 Beaver Street
Waltham, MA 02452
(781) 314-0804",,Massachusetts,2025-02-13T17:26:06.959235
The Cambridge School Of Weston,58500.0,9-12,"45 Georgian Road
Weston, MA 02493
(781) 642-8650",,Massachusetts,2025-02-13T17:26:06.959235
Newton Country Day School,58950.0,5-12,"785 Centre St
Newton, MA 02458
(617) 244-4246",Catholic,Massachusetts,2025-02-13T17:26:06.959235
Carroll School,59000.0,1-9,"25 Baker Bridge Road
Lincoln, MA 01773
(781) 259-8342",,Massachusetts,2025-02-13T17:26:06.959235
Springfield Commonwealth Academy,59500.0,6-12,"1 Ames Hill Dr
Springfield, MA 01105
(413) 276-6087",,Massachusetts,2025-02-13T17:26:06.960237
Groton School,59995.0,8-12,"282 Farmers Row
Groton, MA 01450
(978) 448-3363",Episcopal,Massachusetts,2025-02-13T17:26:06.960237
Clearway School,60300.0,7-12,"573B Washington Street
Newton, MA 02458
(617) 964-6186",,Massachusetts,2025-02-13T17:26:06.960237
Riverview School Inc,60656.0,6-12,"551 Route 6A
East Sandwich, MA 02537
(508) 888-0489",,Massachusetts,2025-02-13T17:26:06.960237
Dana Hall School,60809.0,5-12,"45 Dana Road
Wellesley, MA 02482
(781) 489-1331",,Massachusetts,2025-02-13T17:26:06.960237
Lawrence Academy,60900.0,9-12,"26 Powderhouse Rd
Groton, MA 01450
(978) 448-1530",,Massachusetts,2025-02-13T17:26:06.960237
St. Sebastians School,60900.0,7-12,"1191 Greendale Avenue
Needham, MA 02492
(781) 449-5200",Catholic,Massachusetts,2025-02-13T17:26:06.960237
Middlesex School,61270.0,9-12,"1400 Lowell Road
Concord, MA 01742
(978) 371-6524",,Massachusetts,2025-02-13T17:26:06.960237
Beaver Country Day School,62970.0,6-12,"791 Hammond St
Chestnut Hill, MA 02467
(617) 738-2725",,Massachusetts,2025-02-13T17:26:06.960237
Brimmer and May School,63650.0,PK-12,"69 Middlesex Road
Chestnut Hill, MA 02467
(617) 566-7462",,Massachusetts,2025-02-13T17:26:06.960237
Walnut Hill School For The Arts,64460.0,9-12,"12 Highland Street
Natick, MA 01760
(508) 650-5085",,Massachusetts,2025-02-13T17:26:06.960237
Belmont Hill School,64800.0,7-12,"350 Prospect Street
Belmont, MA 02478
(617) 484-4410",,Massachusetts,2025-02-13T17:26:06.960237
Buxton School,65000.0,9-12,"291 South Street
Williamstown, MA 01267
(413) 458-3919",,Massachusetts,2025-02-13T17:26:06.960237
Hillside School,65800.0,4-9,"404 Robin Hill Street
Marlborough, MA 01752
(508) 485-3483",,Massachusetts,2025-02-13T17:26:06.960237
Cushing Academy,65950.0,9-12,"39 School Street
Ashburnham, MA 01430
(978) 827-7000",,Massachusetts,2025-02-13T17:26:06.960237
Berkshire School,66200.0,9-12,"245 North Undermountain Road
Sheffield, MA 01257
(413) 229-1003",,Massachusetts,2025-02-13T17:26:06.962203
Brooks School,66900.0,9-12,"1160 Great Pond Road
North Andover, MA 01845
(978) 725-6255",Episcopal,Massachusetts,2025-02-13T17:26:06.962203
Landmark Elementary•Middle School,70000.0,2-8,"167 Bridge Street
Manchester, MA 01944
(978) 236-3000",,Massachusetts,2025-02-13T17:26:06.962203
Landmark High School,70000.0,2-12,"429 Hale St
Prides Crossing, MA 01965
(978) 236-3266",,Massachusetts,2025-02-13T17:26:06.962203
New England Academy,70000.0,7-12,"96 Cherry Hill Drive
Beverly, MA 01915
(978) 921-1103",,Massachusetts,2025-02-13T17:26:06.962203
Stoneleigh-Burnham School,70000.0,7-12,"574 Bernardston Road
Greenfield, MA 01301
(413) 774-2711",,Massachusetts,2025-02-13T17:26:06.962203
Learning Prep School,71636.0,5-12,"1507 Washington St
West Newton, MA 02465
(617) 965-0764",,Massachusetts,2025-02-13T17:26:06.962203
Deerfield Academy,71770.0,9-12,"7 Boyden Lane
Deerfield, MA 01342
(413) 774-1400",,Massachusetts,2025-02-13T17:26:06.963742
Miss Hall's School,72400.0,9-12,"492 Holmes Road
Pittsfield, MA 01201
(413) 499-1300",,Massachusetts,2025-02-13T17:26:06.963742
The Governors Academy,72900.0,9-12,"1 Elm St
Byfield, MA 01922
(978) 465-1763",,Massachusetts,2025-02-13T17:26:06.964247
St. Mark's School,72930.0,9-12,"25 Marlboro Road
Southborough, MA 01772
(508) 786-6000",Episcopal,Massachusetts,2025-02-13T17:26:06.964247
Phillips Academy Andover,73780.0,9-12,"180 Main Street
Andover, MA 01810
(978) 749-4050",,Massachusetts,2025-02-13T17:26:06.964753
The Winchendon School,74500.0,9-12,"172 Ash Street
Winchendon, MA 01475
(978) 297-1223",,Massachusetts,2025-02-13T17:26:06.964753
Northfield Mount Hermon,74826.0,9-12,"One Lamplighter Way
Gill, MA 01354
(413) 498-3227",,Massachusetts,2025-02-13T17:26:06.964753
Eaglebrook School,74900.0,6-9,"271 Pine Nook Road
Deerfield, MA 01342
(413) 774-7411",,Massachusetts,2025-02-13T17:26:06.965290
Wilbraham & Monson Academy,75500.0,6-12,"423 Main Street
Wilbraham, MA 01095
(413) 596-6811",,Massachusetts,2025-02-13T17:26:06.965290
The Williston Northampton School,76000.0,7-12,"19 Payson Avenue
Easthampton, MA 01027
(413) 529-3231",,Massachusetts,2025-02-13T17:26:06.965290
Tabor Academy,77000.0,9-12,"66 Spring Street
Marion, MA 02738
(508) 291-8300",,Massachusetts,2025-02-13T17:26:06.965290
,,,,,Massachusetts,2025-02-13T17:26:06.965290
Fay School,78000.0,K-9,"48 Main Street
Southborough, MA 01772
(508) 490-8201",,Massachusetts,2025-02-13T17:26:07.998638
Valley View School,97000.0,5-11,"91 Oakham Rd
North Brookfield, MA 01535
(508) 867-6505",,Massachusetts,2025-02-13T17:26:07.998638
Peace Evangelical Lutheran School,1200.0,2-4,"805 S Wilmott St
Otsego, MI 49078
(269) 694-6104",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.429891
St. John's Ev. Lutheran School,1200.0,K-7,"7379 Berne Rd
Pigeon, MI 48755
(989) 453-2861",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.429891
St. Paul Lutheran School,1200.0,PK-8,"718 Arbor Ct
South Haven, MI 49090
(269) 637-4459",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.430890
Bird Lake Bible School,1250.0,1-12,"7260 Bird Lake Road S
Osseo, MI 49266
(517) 523-3300",Christian,Michigan,2025-02-13T17:26:10.430890
Shalom Baptist Church & School,1440.0,PK,"3400 Morgan Road
Lake Orion, MI 48359
(248) 391-0443",Baptist,Michigan,2025-02-13T17:26:10.430890
Crown Of Life Lutheran School,1500.0,PK-7,"25065 Eureka Dr
Warren, MI 48091
(586) 264-2456",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.430890
Dearborn Christian Preschool,2000.0,NS,"21360 Donaldson Street
Dearborn, MI 48124
(313) 563-1240",Christian,Michigan,2025-02-13T17:26:10.430890
Holy Trinity Evangelical Lutheran School,2000.0,PK-8,"4201 Burlingame Ave Sw
Wyoming, MI 49509
(616) 538-1122",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.430890
Sacred Heart School,2000.0,K-8,"433 Baraga Ave
Lanse, MI 49946
(906) 524-5157",Catholic,Michigan,2025-02-13T17:26:10.430890
St. Johns Lutheran School,2045.0,K-8,"2290 Pretzer Rd
Hemlock, MI 48626
(989) 642-5178",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.430890
Assumption Bvm School,2300.0,PK-8,"6393 Belmont Avenue Ne
Belmont, MI 49306
(616) 361-5483",Catholic,Michigan,2025-02-13T17:26:10.431890
Holy Family School,2300.0,PK-6,"411 Wilkinson St
East Tawas, MI 48730
(989) 362-5651",Catholic,Michigan,2025-02-13T17:26:10.431890
St. Bartholomew Lutheran School,2300.0,PK-8,"1033 E. Beaver Rd.
Kawkawlin, MI 48631
(989) 684-6751",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:10.431890
St. Mary School,2390.0,PK-5,"508 E Paw Paw St
Paw Paw, MI 49079
(616) 657-3750",Catholic,Michigan,2025-02-13T17:26:10.431890
Trinity Lutheran School,2450.0,PK-8,"406 S Lakeview Ave
Sturgis, MI 49091
(269) 651-4245",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:10.431890
Factoryville Christian School,2500.0,PK-12,"33650 Factoryville Rd
Athens, MI 49011
(269) 729-4203",Christian,Michigan,2025-02-13T17:26:10.431890
Lake Area Christian School,2500.0,PK-12,"63590 Borgert Rd
Sturgis, MI 49091
(269) 651-5135",,Michigan,2025-02-13T17:26:10.431890
St. Mary's School,2500.0,K-8,"360 Maple St
Sault Sainte Marie, MI 49783
(906) 635-6141",Catholic,Michigan,2025-02-13T17:26:10.431890
St. Paul Lutheran School,2500.0,PK-8,"4941 Center St
Millington, MI 48746
(989) 871-4581",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:10.431890
St. Michael Continuation School,2550.0,PK-8,"310 E 2nd St
Pinconning, MI 48650
(989) 879-3063",Catholic,Michigan,2025-02-13T17:26:10.432954
St. Charles Borromeo Catholic School,2600.0,PK-8,"79 Harrison St
Coldwater, MI 49036
(517) 279-0404",Catholic,Michigan,2025-02-13T17:26:10.432954
Al-ikhlas Training Academy,2725.0,PK-12,"12555 McDougall St.
Hamtramck, MI 48212
(313) 369-0880",Islamic,Michigan,2025-02-13T17:26:10.432954
Rudyard Christian School,2800.0,K-5,"10702 W 17 Mile Rd
Rudyard, MI 49780
(906) 478-3910",Christian,Michigan,2025-02-13T17:26:10.432954
St. Isaac Jogues Elementary School,2800.0,PK-8,"21100 Madison St
Saint Clair Shores, MI 48081
(586) 771-3525",Catholic,Michigan,2025-02-13T17:26:10.432954
Tri-city Sda School,2800.0,2-6,"3955 Kochville Rd
Saginaw, MI 48604
(989) 790-2508",Seventh Day Adventist,Michigan,2025-02-13T17:26:10.432954
Copper Country Christian School,2900.0,PK-10,"20980 Broemer Rd
Chassell, MI 49916
(906) 487-1718",Christian,Michigan,2025-02-13T17:26:10.432954
Ss Peter & Paul Elementary School,2950.0,PK-8,"317 Baldie St
Ionia, MI 48846
(616) 527-3561",Catholic,Michigan,2025-02-13T17:26:10.432954
Fellowship Baptist Academy,3000.0,PK-11,"8070 S Bloomer St
Carson City, MI 48811
(989) 584-6430",Baptist,Michigan,2025-02-13T17:26:10.432954
St. John's Lutheran School,3000.0,K-8,"505 E Carpenter St
Midland, MI 48640
(989) 835-7041",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:10.432954
St. Mary School,3000.0,PK-8,"1005 Bridge St
Charlevoix, MI 49720
(231) 547-9441",Catholic,Michigan,2025-02-13T17:26:10.432954
Trinity Lutheran School,3000.0,PK-7,"980 Huntington
Clinton Township, MI 48036
(435) 628-6115",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:10.432954
St. Mary Catholic School,3003.0,PK-8,"927 Marion Ave
Big Rapids, MI 49307
(231) 796-6731",Catholic,Michigan,2025-02-13T17:26:10.432954
Holy Redeemer Grade School,3050.0,PK-8,"1711 Junction St
Detroit, MI 48209
(313) 841-5230",Catholic,Michigan,2025-02-13T17:26:10.434459
Life In Christ Christian School,3100.0,NS-12,"1833 M 21
Owosso, MI 48867
(989) 720-6872",Christian,Michigan,2025-02-13T17:26:10.434459
Queen Of The Miraculous Medal School,3120.0,PK-6,"811 S Wisner Street
Jackson, MI 49203
(517) 782-2664",Catholic,Michigan,2025-02-13T17:26:10.434459
,,,,,Michigan,2025-02-13T17:26:10.434459
Life In Christ Christian School,3100.0,NS-12,"1833 M 21
Owosso, MI 48867
(989) 720-6872",Christian,Michigan,2025-02-13T17:26:11.517767
Queen Of The Miraculous Medal School,3120.0,PK-6,"811 S Wisner Street
Jackson, MI 49203
(517) 782-2664",Catholic,Michigan,2025-02-13T17:26:11.517767
St. Mary's School,3150.0,PK-8,"11208 N Saginaw St
Mount Morris, MI 48458
(810) 686-4790",Catholic,Michigan,2025-02-13T17:26:11.518302
Immanuel Lutheran School,3190.0,PK-8,"355 Wilson Street
Alpena, MI 49707
(989) 354-4805",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.518302
St. Genevieve Elementary School,3199.0,PK-7,"28933 Jamison Street
Livonia, MI 48154
(734) 425-4420",Catholic,Michigan,2025-02-13T17:26:11.518302
Holy Rosary Catholic School,3200.0,K-8,"5191 Richfield Rd
Flint, MI 48506
(810) 736-4220",Catholic,Michigan,2025-02-13T17:26:11.518302
Pyramid Montessori,3240.0,PK-K,"1118 Emerald Ave Ne
Grand Rapids, MI 49503
(616) 956-0466",,Michigan,2025-02-13T17:26:11.519000
Grand Rapids Seventh-day Adventist Academy,3250.0,K-12,"1151 Oakleigh Road NW
Grand Rapids, MI 49504
(616) 791-9797",Seventh Day Adventist,Michigan,2025-02-13T17:26:11.519000
Holt Lutheran School And Sonshine Ecc,3250.0,PK-8,"2418 Aurelius Rd
Holt, MI 48842
(517) 694-3182",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.519000
St. Mary Star Of The Sea School,3250.0,K-6,"116 E Wesley St
Jackson, MI 49201
(517) 784-8811",Catholic,Michigan,2025-02-13T17:26:11.519000
Griggs International Academy,3300.0,K-12,"8903 Us Hwy 31
Berrien Springs, MI 49103
(269) 471-6570",Seventh Day Adventist,Michigan,2025-02-13T17:26:11.519000
Traverse City Christian Elementary School,3355.0,PK-5,"1514 Birmley Road
Traverse City, MI 49696
(231) 946-5276",Christian,Michigan,2025-02-13T17:26:11.519508
St. Peter Lutheran School,3420.0,K-8,"2440 N Raucholz Road
Hemlock, MI 48626
(989) 642-5659",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.519508
St. Mary's School,3465.0,PK-5,"217 S Lincoln Avenue
Niles, MI 49120
(269) 683-9191",Catholic,Michigan,2025-02-13T17:26:11.519508
Cornerstone Christian School,3500.0,PK-12,"900 S Western Ave
Cheboygan, MI 49721
(231) 627-2160",Christian,Michigan,2025-02-13T17:26:11.519508
Muhammad University Of Islam,3500.0,K-4,"19160 Evergreen
Detroit, MI 48219
(313) 931-4873",Islamic,Michigan,2025-02-13T17:26:11.519508
Holy Spirit School,3600.0,PK-8,"2222 Lake Michigan Dr Nw
Grand Rapids, MI 49504
(616) 735-6030",Catholic,Michigan,2025-02-13T17:26:11.520011
Immaculate Heart Of Mary School,3600.0,PK-8,"1951 Plymouth Avenue Se
Grand Rapids, MI 49506
(616) 241-4633",Catholic,Michigan,2025-02-13T17:26:11.520011
St. Joseph Elementary School,3600.0,PK-8,"935 W Houghton Ave
West Branch, MI 48661
(989) 345-0220",Catholic,Michigan,2025-02-13T17:26:11.520011
St. Patrick School Pk-8,3600.0,K-12,"122 West Street
Portland, MI 48875
(517) 647-7551",Catholic,Michigan,2025-02-13T17:26:11.520011
St. Paul School,3600.0,K-8,"811 E. Oliver St.
Owosso, MI 48867
(989) 725-7766",Catholic,Michigan,2025-02-13T17:26:11.520515
St. Mark Lutheran School,3646.0,PK-8,"1934 52nd Street SE
Grand Rapids, MI 49508
(616) 281-7892",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.520515
St. Johns School,3750.0,NS-8,"525 Taylor Ave
Grand Haven, MI 49417
(616) 842-0260",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.520515
Trinity Lutheran School,3800.0,PK-8,"1003 S Maple St
Traverse City, MI 49684
(231) 946-2721",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.520515
St. Pius X School,3850.0,PK-8,"G3139 Hogarth Avenue
Flint, MI 48532
(810) 235-8572",Catholic,Michigan,2025-02-13T17:26:11.520515
St. Pauls Lutheran School,3864.0,PK-8,"2673 W John Beers Rd
Stevensville, MI 49127
(269) 429-5141",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:11.520515
Covenant Christian School,3900.0,PK-8,"2980 W Us Highway 10
Ludington, MI 49431
(231) 845-9183",Christian,Michigan,2025-02-13T17:26:11.520515
St. Charles Elementary School,3900.0,PK-8,"502 S Franklin St
Greenville, MI 48838
(616) 754-3416",Catholic,Michigan,2025-02-13T17:26:11.520515
St. Matthew Lutheran School,3900.0,PK-8,"5885 N Venoy Rd
Westland, MI 48185
(734) 425-0261",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.520515
St. Rose Of Lima School,3900.0,PK-6,"707 S Jefferson St
Hastings, MI 49058
(269) 945-3164",Catholic,Michigan,2025-02-13T17:26:11.521516
Bethany Christian School,3950.0,K-12,"2601 John R Rd
Troy, MI 48083
(248) 689-4821",Baptist,Michigan,2025-02-13T17:26:11.521516
Immanuel Lutheran School,3995.0,PK-8,"47120 Romeo Plank Road
Macomb, MI 48044
(586) 286-7076",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.521516
St. Mary- Hannah Catholic School,4000.0,K-8,"2912 West M -113
Kingsley, MI 49649
(231) 263-5288",Catholic,Michigan,2025-02-13T17:26:11.521516
St. Paul Lutheran School,4000.0,NS-8,"90 Millville Road
Lapeer, MI 48446
(810) 664-0046",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.521516
Sacred Heart School,4050.0,PK-8,"22513 Garrison Street
Dearborn, MI 48124
(313) 561-9192",Catholic,Michigan,2025-02-13T17:26:11.521516
Otsego Christian School,4100.0,PK-6,"1377 M-32
Gaylord, MI 49734
(989) 732-8333",Christian,Michigan,2025-02-13T17:26:11.521516
St. Germaine Catholic School,4100.0,PK-8,"28250 Rockwood Street
Saint Clair Shores, MI 48081
(586) 771-0890",Catholic,Michigan,2025-02-13T17:26:11.521516
Immaculate Conception Ukranian Catholic Schools,4110.0,PK-8,"29500 Westbrook Ave
Warren, MI 48092
(586) 574-2480",,Michigan,2025-02-13T17:26:11.521516
Concordia Lutheran North,4200.0,K-4,"20805 Middlebelt Road
Farmington, MI 48336
(248) 474-2488",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.521516
St. Joseph Catholic School,4223.0,PK-8,"2238 Manhattan St
Erie, MI 48133
(734) 848-6985",Catholic,Michigan,2025-02-13T17:26:11.521516
Holy Cross Catholic,4250.0,PK-8,"618 S Water Street
Marine City, MI 48039
(810) 765-3591",Catholic,Michigan,2025-02-13T17:26:11.521516
Warren Woods Christian School,4273.0,PK-8,"14000 E 13 Mile Road
Warren, MI 48088
(586) 772-8787",Church of the Nazarene,Michigan,2025-02-13T17:26:11.523017
Faith Christian School,4300.0,K-12,"34950 Little Mack
Clinton Township, MI 48035
(586) 783-9630",Baptist,Michigan,2025-02-13T17:26:11.523017
Gesu Catholic School,4300.0,PK-8,"17139 Oak Dr
Detroit, MI 48221
(313) 863-4677",Catholic,Michigan,2025-02-13T17:26:11.523017
Loyola High School,4300.0,9-12,"15325 Pinehurst St
Detroit, MI 48238
(313) 861-2407",Catholic,Michigan,2025-02-13T17:26:11.523017
Charlotte Adventist Christian School,4350.0,K-8,"1510 S. Cochran St
Charlotte, MI 48813
(517) 543-0445",Seventh Day Adventist,Michigan,2025-02-13T17:26:11.523017
Oceana Christian School,4400.0,PK-7,"3258 N 72nd Ave
Hart, MI 49420
(231) 873-2514",Baptist,Michigan,2025-02-13T17:26:11.523521
St. Mary Catholic School,4400.0,PK-8,"10601 Dexter-pinckney Rd
Pinckney, MI 48169
(734) 878-5616",Catholic,Michigan,2025-02-13T17:26:11.523521
Saint Basil Catholic School,4500.0,PK-8,"94 Superior St
South Haven, MI 49090
(269) 637-3529",Catholic,Michigan,2025-02-13T17:26:11.523521
Spring Vale Christian School,4500.0,PK-12,"4150 S M-52
Owosso, MI 48867
(989) 725-2391",Christian,Michigan,2025-02-13T17:26:11.523521
St. Anthony Of Padua Elementary School,4580.0,NS-8,"2510 Richmond St NW
Grand Rapids, MI 49504
(616) 453-8229",Catholic,Michigan,2025-02-13T17:26:11.524024
Trinity Lutheran School,4580.0,PK-8,"4900 McCain Rd
Jackson, MI 49201
(517) 750-2105",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.524024
Guardian Lutheran School,4600.0,NS-8,"24544 Cherry Hill St
Dearborn, MI 48124
(313) 274-3665",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.524024
Holy Spirit Catholic School,4600.0,PK-8,"9565 Musch Road
Brighton, MI 48116
(810) 900-9050",Catholic,Michigan,2025-02-13T17:26:11.524024
Peace Lutheran School,4656.0,K-8,"6580 24 Mile Road
Utica, MI 48316
(586) 731-4120",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.524530
Emanuel Lutheran School,4700.0,K-8,"1001 N Capitol Ave
Lansing, MI 48906
(517) 242-3138",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:11.524530
Divine Providence Academy,4750.0,PK-8,"3376 Thomas St
Ravenna, MI 49451
(616) 581-4242",Catholic,Michigan,2025-02-13T17:26:11.524530
St. Joseph Continuation School,4786.0,PK-8,"2675 Third Street
Trenton, MI 48183
(734) 676-2565",Catholic,Michigan,2025-02-13T17:26:11.524530
Capitol City Baptist School,4800.0,K-12,"5100 Willoughby Road
Holt, MI 48842
(517) 694-6122",Baptist,Michigan,2025-02-13T17:26:11.524530
Calvary Schools Of Holland,4900.0,K-12,"518 Plasman Ave
Holland, MI 49423
(616) 396-4494",Christian,Michigan,2025-02-13T17:26:11.524530
Shepherd Of The Lakes Lutheran School,4900.0,NS-8,"2101 S Hacker Road
Brighton, MI 48114
(810) 227-6473",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.524530
Teri Thomas,4900.0,PK-8,"2675 Third Street
Trenton, MI 48183
(734) 676-2565",Catholic,Michigan,2025-02-13T17:26:11.524530
St. Mary School,4950.0,K-12,"303 St Mary's St
Lake Leelanau, MI 49653
(231) 256-9636",Catholic,Michigan,2025-02-13T17:26:11.524530
Divine Providence Academy At St. Joseph,4975.0,PK-8,"18768 8th Ave
Conklin, MI 49403
(616) 899-5300",Catholic,Michigan,2025-02-13T17:26:11.525534
Divine Grace Lutheran School,5000.0,PK-8,"3000 S Lapeer Rd
Lake Orion, MI 48359
(248) 391-1131",Wisconsin Evangelical Lutheran Synod,Michigan,2025-02-13T17:26:11.525534
Greater Lansing Islamic School,5000.0,PK-8,"940 South Harrison Road
East Lansing, MI 48823
(517) 332-3700",Islamic,Michigan,2025-02-13T17:26:11.525534
Kathi Ingleby,5000.0,K-8,"Metropolitan Junior Academy, 15585 N Haggerty Rd
Plymouth, MI 48170
(734) 420-4044",Seventh Day Adventist,Michigan,2025-02-13T17:26:11.525534
New Life Christian Academy,5000.0,PK-12,"5517 Griswold Road
Smiths Creek, MI 48074
(810) 367-3770",Christian,Michigan,2025-02-13T17:26:11.525534
Divine Child Elementary School,5050.0,K-8,"25001 Herbert Weier Dr
Dearborn, MI 48128
(313) 562-1090",Catholic,Michigan,2025-02-13T17:26:11.525534
Most Holy Trinity Catholic Academy,5150.0,K-8,"1229 Labrosse St
Detroit, MI 48226
(313) 961-8855",Catholic,Michigan,2025-02-13T17:26:11.525534
Our Savior Lutheran School,5200.0,PK-8,"7910 E St Joe Hwy
Lansing, MI 48917
(517) 882-3550",Lutheran Church Missouri Synod,Michigan,2025-02-13T17:26:11.525534
St. Mary Catholic School,5280.0,PK-8,"2 Union Street
Mount Clemens, MI 48043
(586) 468-4570",Catholic,Michigan,2025-02-13T17:26:11.525534
Oak Trails Montessori School,5300.0,PK-K,"6727 Warren Rd # 1
Ann Arbor, MI 48105
(734) 662-8016",,Michigan,2025-02-13T17:26:11.526531
Byron Center Christian School,5313.0,PK-8,"8840 Byron Center Ave Sw
Byron Center, MI 49315
(616) 878-3347",Calvinist,Michigan,2025-02-13T17:26:11.526531
